Ref,Mid X,Mid Y,Rotation,Layer
BT1,141.3,-77.9,0,top
BT2,141.2,-106.7,180,top
C1,138.8,-87,90,top
C2,141.2,-78.8,90,top
C3,127,-93.2,180,top
C4,129.9,-96.6,-90,top
C5,119.8,-94.8,90,top
C6,165.6,-81.8,0,top
C7,162.2,-79.1,-90,top
C8,166.35,-83.6,0,top
C9,132.3,-103.4,-90,top
C10,166.35,-84.7,0,top
C11,165.475,-88.25,90,top
C12,122.3,-106.6,0,top
C13,155.9,-83.1,90,top
C14,127.9,-107.1,0,top
C15,157.475,-93.05,180,top
C16,160.4,-82.2,-90,top
C17,157,-83.1,90,top
C18,163,-82.9,90,top
C19,130,-84.7,0,top
C20,153.7,-82.6,0,top
C21,163.5,-75.3,0,top
C22,153.8,-88.3,0,top
C23,125.5,-87.4,-90,top
D1,99.1,-93.575,90,top
D3,159.1,-98.5,180,top
H1,107,-104.3,0,top
J1,163.275,-103.1,-90,top
J4,100,-76.3,0,top
J5,147.58,-108.1,-90,top
JP1,125.725,-82.3,-90,top
L1,167.175,-88.75,180,top
L2,158.9,-79.8,180,top
L3,158.4,-82.2,-90,top
R1,99.8,-87.8,0,top
R2,123.1,-87.4,90,top
R3,156.8,-98.5,90,top
R4,160.025,-95.7,90,top
R5,161.6,-98.6,90,top
R6,142.9,-78.8,90,top
R7,126.8,-96.3,180,top
R8,128.6,-96.2,90,top
R9,131.7,-98.1,-90,top
R10,132.5,-100.3,180,top
R11,152.6,-107.7,90,top
R12,123.9,-104,-90,top
R13,122.7,-104,90,top
R14,127.9,-108.5,0,top
R19,107.3,-91.7,180,top
R22,107.3,-89.7,180,top
R23,112.7,-92,0,top
R24,112.7,-82.8,0,top
RST1,157.8,-108.1,180,top
SW1,110.5,-85.9,180,top
SW2,110.5,-95.2,180,top
U1,148.8,-80.7,45,top
U2,140.703949,-90.503949,-45,top
U3,127.9,-102.1,-90,top
U4,161.175,-88.05,0,top
U5,129.4,-88.6,-90,top
Y1,164.2,-79.5,90,top
Y2,154.175,-85.55,-90,top
