Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.45,-77.9,0.0,top
BT2,140.85,-106.7,180.0,top
C1,138.8,-87.0,90.0,top
C12,122.555,-108.077,0.0,top
C14,128.016,-109.093,0.0,top
C15,156.4,-78.6,90.0,top
C16,163.8,-77.1,0.0,top
C18,154.5,-79.1,90.0,top
C19,132.715,-84.582,90.0,top
C2,141.4,-78.6,90.0,top
C21,173.6,-76.9,180.0,top
C23,125.5,-85.758,-90.0,top
C3,136.652,-103.251,-90.0,top
C4,133.35,-99.822,0.0,top
C5,110.8,-87.7,180.0,top
C9,132.588,-105.918,-90.0,top
D1,101.254,-93.731,90.0,bottom
D3,176.2,-107.88,180.0,top
H1,106.2,-104.3,0.0,top
J1,119.475,-93.096,180.0,bottom
J2,152.654,-98.425,180.0,top
J4,131.286,-88.186,180.0,bottom
J5,145.58,-109.1,90.0,bottom
JP1,123.793,-88.773,180.0,bottom
L2,162.2,-78.9,180.0,top
L3,160.5,-77.1,180.0,top
Q1,104.9,-95.1,180.0,top
Q2,133.0,-78.2,90.0,top
R1,108.7,-95.2,-90.0,top
R10,133.223,-102.87,180.0,top
R11,152.6,-107.7,90.0,top
R12,124.206,-105.537,-90.0,top
R13,123.063,-105.537,90.0,top
R14,128.016,-110.493,0.0,top
R15,101.219,-87.4,90.0,top
R16,133.0,-81.3,180.0,top
R19,137.6,-77.5,-90.0,top
R2,118.872,-89.662,-90.0,top
R22,139.4,-77.5,-90.0,top
R23,137.9,-80.9,-90.0,top
R24,139.4,-80.9,-90.0,top
R3,173.9,-107.88,90.0,top
R4,177.125,-105.08,90.0,top
R5,178.7,-107.98,90.0,top
R6,123.698,-103.251,0.0,top
R7,125.857,-99.06,180.0,top
R8,133.096,-98.552,0.0,top
R9,132.969,-101.219,0.0,top
RST1,157.8,-108.1,180.0,top
RST2,163.02,-82.677,-90.0,bottom
SW1,146.113,-78.867,90.0,bottom
SW11,148.082,-76.28,180.0,top
SW2,136.313,-78.867,90.0,bottom
SW22,148.082,-81.28,180.0,top
U1,120.301,-82.931,-70.0,top
U2,139.703949,-91.503949,-45.0,top
U3,128.397,-104.394,-90.0,top
U4,170.5,-91.5,-90.0,top
U5,129.286,-84.1125,-90.0,top
